,PlayerId,BaseProbability,OPLAYER_ID_SS,OPLAYER_FULL_NAME,TotalAttempts,TotalMakes,PaddedProbabilities,ScaledAttempts,CombinedEstimate
103,5ba5cb78-f1ce-4eb1-87f9-9a24af7e28da,0.35077074717333634,5ba5cb78-f1ce-4eb1-87f9-9a24af7e28da,Mikal Bridges,194,71,0.3580508474576271,0.2503242542153048,0.3562284617833494
104,5bb515ad-3c45-4b77-8e12-1e943b00ed20,0.33840470026140596,5bb515ad-3c45-4b77-8e12-1e943b00ed20,Josh Jackson,74,25,0.35436893203883496,0.0946822308690013,0.3528574029600382
105,5cef3c95-c7c7-4206-b70c-41f647f9498b,0.33245408315287933,5cef3c95-c7c7-4206-b70c-41f647f9498b,Cam Reddish,250,83,0.35,0.3229571984435798,0.3443334198509299
106,5f053600-9d58-4d87-aaa5-1117ac33da25,0.3555466329607705,5f053600-9d58-4d87-aaa5-1117ac33da25,Danuel House Jr.,413,154,0.3619948409286328,0.5343709468223087,0.3585491059315391
107,5fda86da-3a97-4b24-8a01-02ad5baec41c,0.31460229177548643,5fda86da-3a97-4b24-8a01-02ad5baec41c,Romeo Langford,30,7,0.35128205128205126,0.03761348897535668,0.34990239755223235
108,6000ea63-0351-4292-b820-9c203f907208,0.30963202504206505,6000ea63-0351-4292-b820-9c203f907208,Tremont Waters,25,4,0.3496774193548387,0.031128404669260697,0.3484308701155306
109,60cd9761-b898-4295-9a39-e9b5e7aaf3e9,0.3247094980183006,60cd9761-b898-4295-9a39-e9b5e7aaf3e9,Rayjon Tucker,21,5,0.3527885862516213,0.02594033722438392,0.3520602052338957
110,611bcb63-ed81-4e24-94b9-db72acec82fc,0.32954338054479704,611bcb63-ed81-4e24-94b9-db72acec82fc,Nicolo Melli,206,69,0.3514644351464435,0.26588845654993515,0.34563587977246485
111,61fc6b15-5ce2-4613-a67b-f15bada3aa57,0.3153095716054084,61fc6b15-5ce2-4613-a67b-f15bada3aa57,Bam Adebayo,15,2,0.3516339869281046,0.018158236057068743,0.35097439962004007
112,62b8039c-85a3-4136-a657-6b4797f54010,0.34410572220343794,62b8039c-85a3-4136-a657-6b4797f54010,Zion Williamson,14,6,0.35732984293193715,0.016861219195849545,0.35710686813366155
