,ATL,BOS,BKN,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
57,119.69960437503268,130.38420293552932,109.42409965640528,101.50953604275699,113.14238959797382,116.9180800838465,120.61236915066993,120.14338858991678,107.22303311882577,119.77855845126761,110.5690409670184,125.09521385925149,116.75033543084206,99.08041788728173,111.68225089388581,122.78130447542388,115.61149079172722,119.63224240713201,118.77984390245818,124.2706736410636,111.55006010552046,116.60456649783052,120.85302608359878,102.32394157346245,118.14847437605408,104.36314661476996,112.0319351841129,116.86599269097943,105.35958431469305
58,119.26950198004324,130.93855150661184,110.12407022197864,101.43753382030312,113.10764997952802,116.73739887062916,120.93678005885619,120.1783506184313,106.88238189168686,119.66205617209982,110.22154711591992,125.12554356937267,116.69619226843888,98.92425374267997,111.12901874327675,123.21899249399264,115.43745274427435,119.90384558185237,118.22064748435213,124.26314557118427,111.59865313246665,117.31625319538126,120.44136262341259,102.0263124623957,118.31283445929198,104.15714325172738,112.10885221159992,116.0388959321767,105.62056841250906
59,118.95742287902858,131.44904573277122,110.41644596682005,102.1555107906656,112.76422348456082,116.45235271212614,120.67898147926671,119.7056113688881,106.30160147261385,118.62476910440196,110.12092629582722,125.18869972079452,116.74555470117463,98.61742177101475,111.68187133481236,123.20846446360052,115.48126641128226,119.76338720677523,117.67791811120733,124.10035606049753,111.76380383829323,117.50883056418785,119.91461416084606,102.41746605268618,118.32656116283529,104.8994925776002,111.6802769018468,115.85169123189712,105.67568153699105
60,119.142684771499,130.93788960288828,110.40579773170465,101.95906391325666,113.06390496227725,116.30723328138478,120.7098519881444,120.16333344970134,106.45216341949812,118.8592671719197,110.13601963410966,124.51263527562473,116.87163560253498,98.1955255062584,112.0331401472813,123.22528241862781,114.84785092617416,120.07903274863638,117.69488889664832,123.58582168777353,111.81795985300023,117.45646969539406,119.60188274017757,102.6486469465251,118.5958831859111,105.14961777811956,111.44762087483325,116.18942948489449,105.62923471888223
61,119.18286996822921,130.5446462232871,110.57964478448758,101.64446770479327,113.43345649467174,115.92088285373522,120.79278160866755,119.69016782823861,106.59439008511332,118.8719904444764,110.52149876828226,124.02871346755289,117.04876023053035,98.50247852365692,112.03735311436256,123.08005116066725,115.23779414559601,120.66499143902205,117.31162666890839,123.731680873587,111.7334787835093,117.27899086874609,119.49180734605383,102.68331835618106,118.96718315992477,104.86129279060413,110.79882007226908,116.30534278690475,105.7769597403665
62,119.04383831692093,130.48880138017623,110.49093795682901,101.43806814528895,113.6652623299015,115.76449931422442,120.83308714147272,119.6732431727286,106.6390015560407,118.70721858138249,110.96064613701573,124.5910968277296,117.08638737900412,98.82267173154729,111.80916906069625,122.10082676564006,115.17456752953213,120.39206684638998,117.26577275430225,123.4831963932648,112.02315210073641,116.77966615783389,119.636247817881,102.9988370663161,118.49574010070701,105.3265525013302,110.82944159421447,116.44304509179022,105.8700017832736
63,118.81429015225142,130.86109562523595,110.30098724654928,101.68789860777511,113.44146130752914,115.54251599019892,121.21251978705232,120.60406578878226,106.75916196324044,118.55137884307892,110.88494815112409,124.34518869757567,117.02858829266926,98.75109416061716,111.7094592412105,122.29716980758297,114.75865263821316,120.49750430101619,116.2058398882356,123.74556249190591,111.11243918836834,115.93134353540567,119.41693482565934,102.97669120095703,118.84577716557067,105.76356452240005,110.77076143378638,116.62749589092236,105.89801105309418
64,118.44829492003099,131.29613989406695,110.82715089909354,101.4204017919334,112.92216539692524,115.55347412911554,121.73075615689652,120.89050558396518,106.49059683706336,118.07762583980951,110.84360248725251,124.10767946316383,117.37768428140498,98.4563394715489,111.1854558615079,122.5970906352139,114.47928128494094,119.81355600351624,116.40550983737293,123.33726474765797,110.64041899737182,115.11199503944081,119.5861668761709,102.97040167419952,119.09601130075583,105.48799844789399,110.9562773573318,116.61620508595146,105.55171585906899
65,118.60531630194627,131.61711952597466,110.82548857003066,101.52774298917087,113.08932241188026,115.65403135700228,121.49049048091976,120.71029543448668,106.05303166973948,118.68232080032777,111.21901084005299,124.01868880932246,117.49506675740992,98.59530967758893,111.10613232393403,121.77275467592361,114.88739784227694,119.84195685160694,116.19889511661451,123.54656817372936,110.96020480653631,115.2306275718353,119.53981590783044,102.59056378020918,118.35703529759756,105.42335820417522,110.34124166259518,116.81360529771257,105.56210030916422
66,118.67535401561896,131.94092228283242,110.39025859682131,101.32972592509442,113.26672612194018,115.25723745276372,121.5147274270559,120.76586532104928,105.95213741023298,118.72009341053128,111.32537517811498,123.92936740082547,117.25992801334728,98.39832118287775,111.00739464525836,122.09500183590986,115.02833127698844,120.21988824243937,115.76449446399464,123.56234418682993,111.03938881093808,115.28081751737004,119.40012091554533,102.62674016633656,118.1681627138327,105.34870825159592,110.13870092138072,116.2429795103928,105.16635553905608
67,118.3092458606916,131.9570118438419,110.17356369310848,101.20162463947044,113.6381093664336,115.33488636549879,121.32813849068151,120.49199127552447,105.59450296312775,119.56195455133417,112.0979913782633,123.92302803074526,117.5739779481237,98.59476234340757,110.44877033237375,122.75874797791212,115.27979991316984,120.15999907926934,116.04781871546089,123.57094181278795,111.08762679097153,114.88226170350276,119.75847859737851,102.66169996069333,118.41280433662034,105.35874022448839,109.68644276738831,116.13864395617426,104.99874186741101
68,118.47967657172946,132.12244287230715,109.79186649759404,100.94849138850458,113.607308784392,115.35238986601168,121.02002307159985,120.5281771462943,105.25189606999827,119.14357082609662,112.45042308799671,123.6174575970018,118.15737722351406,98.45149971067298,110.75199525419227,122.95889308412598,115.25749916585508,119.7560348117469,115.90815011187343,123.51619709023666,111.28171673876524,114.46172511485977,119.65467360253766,102.57253211686687,117.9642940947711,105.15573658312199,109.02443619194514,115.81141642907629,105.21361500205454
69,119.37277958603325,132.39120151700644,109.813801168305,100.67076262872034,113.6186668300554,114.8713188483795,120.7908758594943,120.74603613928363,105.04274868584356,118.87510524202655,113.4998298685905,123.65429224917962,117.67099872896615,98.91057326426814,110.3320153874187,123.01319064338836,115.31894024588507,120.00776512628184,115.86915859443789,122.66466917699087,111.52886303242987,113.83075919788249,120.23183149250463,102.88161042448712,117.90819284717668,104.61058346281,108.64023671383555,115.17990198062749,105.23163867679068
