,ip,city,lat,lon,time,day,month,year
0,216.197.71.109,Charlottesville,38.03035,-78.4793,21:14:53,24,February,2024
1,216.197.71.109,Charlottesville,38.03035,-78.4793,21:15:29,24,February,2024
2,216.197.71.109,Charlottesville,38.03035,-78.4793,21:15:55,24,February,2024
3,216.197.71.109,Charlottesville,38.03035,-78.4793,21:36:44,24,February,2024
4,216.197.71.109,Charlottesville,38.03035,-78.4793,21:37:21,24,February,2024
5,216.197.71.109,Charlottesville,38.03035,-78.4793,21:37:37,24,February,2024
6,216.197.71.109,Charlottesville,38.03035,-78.4793,21:37:39,24,February,2024
7,216.197.71.109,Charlottesville,38.03035,-78.4793,21:42:05,24,February,2024
8,216.197.71.109,Charlottesville,38.03035,-78.47930,21:42:38,24,February,2024
