,Unnamed: 0,LINEUP_ID,E_VAL,MINS,player_one,player_two,player_three,player_four,player_five,PLAYER_NAMES,PTS,E_VAL_PER_MIN,PTS_PER_MIN
22,2,-202083-203992-1627749-1630168-1630180-,39.72,18.83333333333333,202083,203992,1627749,1630168,1630180,"('Wesley Matthews', 'Bogdan Bogdanovic', 'Dejounte Murray', 'Onyeka Okongwu', 'Saddiq Bey')",39,2.109026548672567,2.0707964601769917
23,18,-203992-1627749-1629726-1630168-1630180-,35.182,18.366666666666667,203992,1627749,1629726,1630168,1630180,"('Bogdan Bogdanovic', 'Dejounte Murray', 'Garrison Mathews', 'Onyeka Okongwu', 'Saddiq Bey')",47,1.915535390199637,2.558983666061706
24,19,-203992-1627749-1629726-1630168-1630552-,33.102000000000004,17.316666666666666,203992,1627749,1629726,1630168,1630552,"('Bogdan Bogdanovic', 'Dejounte Murray', 'Garrison Mathews', 'Onyeka Okongwu', 'Jalen Johnson')",50,1.911568816169394,2.8873917228103947
25,2,-201988-203992-1629027-1630168-1630552-,34.752,16.783333333333335,201988,203992,1629027,1630168,1630552,"('Patty Mills', 'Bogdan Bogdanovic', 'Trae Young', 'Onyeka Okongwu', 'Jalen Johnson')",35,2.070625620655412,2.0854021847070503
26,3,-202083-203991-1627749-1629027-1630180-,38.283,16.616666666666667,202083,203991,1627749,1629027,1630180,"('Wesley Matthews', 'Clint Capela', 'Dejounte Murray', 'Trae Young', 'Saddiq Bey')",39,2.303891675025075,2.34704112337011
27,3,-201988-203992-1630168-1630235-1630552-,31.44,16.266666666666666,201988,203992,1630168,1630235,1630552,"('Patty Mills', 'Bogdan Bogdanovic', 'Onyeka Okongwu', 'Trent Forrest', 'Jalen Johnson')",25,1.9327868852459018,1.5368852459016393
28,28,-203992-1629027-1630168-1630552-1631100-,35.645,15.933333333333334,203992,1629027,1630168,1630552,1631100,"('Bogdan Bogdanovic', 'Trae Young', 'Onyeka Okongwu', 'Jalen Johnson', 'AJ Griffin')",39,2.2371338912133893,2.4476987447698746
29,25,-203992-1629027-1629631-1630168-1630180-,29.292,15.243333333333334,203992,1629027,1629631,1630168,1630180,"('Bogdan Bogdanovic', 'Trae Young', ""De'Andre Hunter"", 'Onyeka Okongwu', 'Saddiq Bey')",45,1.9216269407391209,2.9521102121145857
30,29,-203992-1629027-1630168-1630180-1631100-,33.512,15.18,203992,1629027,1630168,1630180,1631100,"('Bogdan Bogdanovic', 'Trae Young', 'Onyeka Okongwu', 'Saddiq Bey', 'AJ Griffin')",44,2.2076416337285902,2.898550724637681
31,1,-1627749-1629027-1629631-1630168-1630552-,31.234,15.115,1627749,1629027,1629631,1630168,1630552,"('Dejounte Murray', 'Trae Young', ""De'Andre Hunter"", 'Onyeka Okongwu', 'Jalen Johnson')",46,2.066424082037711,3.0433344359907375
32,3,-1628981-1629726-1630235-1631100-1641754-,21.089,15.066666666666666,1628981,1629726,1630235,1631100,1641754,"('Bruno Fernando', 'Garrison Mathews', 'Trent Forrest', 'AJ Griffin', 'Seth Lundy')",32,1.399712389380531,2.1238938053097347
33,4,-201988-203992-1627749-1630168-1630180-,39.658,14.725,201988,203992,1627749,1630168,1630180,"('Patty Mills', 'Bogdan Bogdanovic', 'Dejounte Murray', 'Onyeka Okongwu', 'Saddiq Bey')",34,2.6932427843803057,2.3089983022071308
